date_time(UTC:PDT+7), solinst_stage(cm), solinst_stage(ft), manual_stage(cm), manual_stage(ft), flags(1=manual_excluded_from_rating_curve:2=solinst_excluded_from_rating_curve:3=discharge_from_Dana_and_Lyell_stage_time_approximate), discharge(cfs)
2010/08/10 21:42:00, 93.06,  3.05, 94.18,  3.09,  0, 48.86
2010/08/10 22:21:00, 93.07,  3.05, 93.87,  3.08,  0,   NaN
2010/08/20 17:45:00, 88.90,  2.92, 89.91,  2.95,  0, 39.08
2010/08/20 19:00:00, 89.50,  2.94, 91.44,  3.00,  0,   NaN
2010/09/10 20:36:00, 78.12,  2.56, 79.55,  2.61,  0,  8.70
2010/09/10 21:13:00, 78.63,  2.58, 79.85,  2.62,  0,   NaN
2011/07/31 22:36:00, 147.62,  4.84, 161.54,  5.30,  0,   NaN
2011/08/03 18:30:00, 146.16,  4.80, 137.76,  4.52,  0, 296.19
2012/06/28 00:40:00, 96.50,  3.17, 93.57,  3.07,  0, 46.70
2012/07/23 19:25:00, 94.80,  3.11, 91.44,  3.00,  0, 36.11
2012/07/26 18:50:00, 89.37,  2.93, 88.39,  2.90,  0, 32.32
2012/08/09 22:15:00, 90.89,  2.98, 89.91,  2.95,  0, 34.21
2012/08/16 21:00:00, 92.57,  3.04, 92.35,  3.03,  0, 36.44
2012/08/21 22:33:00, 91.97,  3.02, 91.44,  3.00,  0, 40.90
2012/08/30 21:08:00, 83.32,  2.73, 82.90,  2.72,  0,   NaN
2012/09/04 18:20:00, 82.43,  2.70, 80.77,  2.65,  0, 28.40
2012/09/12 21:20:00, 80.90,  2.65, 82.90,  2.72,  0, 43.63
2012/09/24 18:00:00, 77.67,  2.55, 79.24,  2.60,  0,  7.93
2012/09/25 16:31:00, 77.99,  2.56, 78.63,  2.58,  0,   NaN
2012/09/26 21:51:00, 77.34,  2.54, 78.33,  2.57,  0,   NaN
2013/06/17 17:41:00, 111.50,  3.66, 111.55,  3.66,  0,   NaN
2013/07/11 22:29:00, 94.82,  3.11, 94.79,  3.11,  0, 51.25
2013/07/17 17:04:00, 89.59,  2.94, 90.22,  2.96,  0, 35.05
